index,smiles,MLM
0,O=C(Nc1cc(F)cc(C(F)(F)F)c1)N1CCC(c2ccc(Br)cc2)CC1,85.0
2,Cc1noc(C)c1[C@@H]1C[C@@](C)(c2cc(NC(=O)c3ccc(Cl)cn3)c(F)cc2F)N=C(N)S1,76.0
3,Cc1cnc2c(-c3ccc(Oc4ncccc4-c4ccncc4)cc3)cn(C)c2c1,46.2
4,O=c1[nH]c2cccc(Cl)c2cc1O,1.0
6,CC1(C(=O)N(CCC(=O)O)Cc2ccc(Cl)cc2)CCN1C(=O)Cc1csc2ccccc12,100.0
7,Cc1cc(C)cc(CC(=O)N2CCC2(C)C(=O)N(CCCC(N)=O)Cc2ccc(Cl)cc2)c1,22.0
8,CC1(C(=O)N(CC#N)Cc2ccc(Cl)cc2)CCN1C(=O)Cc1csc2ccccc12,2.0
9,CN(Cc1ccc(Cl)cc1)C(=O)C1(C)CCN1C(=O)Cc1csc2ccccc12,0.0
10,COC(=O)N[C@H](C(=O)N1C[C@@H](C)C[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cc5[nH]c([C@@H]6C[C@H](C)CN6C(=O)[C@@H](NC(=O)OC)C(C)C)nc5s4)cc3)cc2)[nH]1)C(C)C,91.0
11,N#CC1(c2cc(CCO)cc(-c3ccnc4[nH]nc(C(F)(F)F)c34)c2)CC1,84.0
12,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)cc(F)c(-c3ncc(F)cn3)c21,61.0
14,CCOc1ccc2ccc(=O)oc2c1,31.0
15,CN1CCN(C(=O)[C@H](CNC(=O)c2ccc(Cl)s2)NS(=O)(=O)c2cccc(N3CCCC3=O)c2Cl)CC1,54.0
16,CN(C1CCN(C(=O)c2ccccc2S(C)(=O)=O)CC1)S(=O)(=O)c1cccc(C(F)(F)F)c1,18.0
17,CCCn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,50.0
18,Cc1nc(-n2cnn(Cc3ccc(F)cc3)c2=O)sc1C(=O)NCc1nccs1,71.0
19,Cc1ncc(CNC(=O)c2sc(-n3cnn(Cc4ccc(F)cc4)c3=O)nc2C)s1,51.0
22,COc1cccc2c1C(NC[C@]1(c3ccccc3)CC[C@H](O)CC1)=NS2(=O)=O,68.0
23,CC(C)N(Cc1ccccc1)c1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,4.0
25,O=C(O)c1cccc(-c2cccc(CCS)c2C(=O)O)c1,90.0
27,CCN(CC)S(=O)(=O)N[C@H]1CC[C@](CNC2=NS(=O)(=O)c3cccc(OC)c32)(c2ccccc2)CC1,1.0
29,Fc1cc(C(F)(F)F)cc([C@@](Cc2ccccc2)(Nc2nc3c(s2)CCC3)c2ccc(Cl)cn2)c1,56.0
30,COc1ccc2c(c1)C1CC1(C(=O)N1C[C@@H](C)N[C@@H](C)C1)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)N(C)C)cc21,100.0
31,COc1ccc2c(c1)C1CC1(C(=O)N1CC(O)(c3ccccc3)C1)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)N(C)C)cc21,100.0
32,Fc1cc(OC(F)(F)C(F)F)cc([C@@](Cc2ccccc2)(Nc2nc3cc(F)ccc3[nH]2)c2ccc(Cl)cn2)c1,95.0
33,Cc1nc(-n2ccc(O)cc2=O)sc1C(=O)NCc1ccc(F)cc1,85.0
34,Cc1nc(-n2ccc(OCCC3CC3)cc2=O)sc1C(=O)NCc1ccccc1,71.0
35,COc1ccn(-c2nc(C)c(C(=O)NCc3ccccc3)s2)c(=O)c1,64.0
36,O=C(Nc1nc(-c2ccccn2)cs1)c1cccc(Br)c1,99.0
37,C[C@H](c1ccccc1)N1C(=O)O[C@](Cc2ccccc2)(c2nc(-c3ccccc3)co2)C1=O,15.0
38,C[C@H](c1ccccc1)N1C(=O)O[C@](Cc2ccccc2)(c2nnc(-c3ccc(Cl)c(Cl)c3)[nH]2)C1=O,41.0
39,COc1cc(OC)nc(-c2nnc([C@@]3(Cc4ccccc4)OC(=O)N([C@H](C)c4ccccc4)C3=O)o2)n1,0.0
40,C[C@H](c1ccccc1)N1C(=O)O[C@](Cc2ccccc2)(c2ncc(-c3ccccc3)o2)C1=O,29.0
41,C[C@H](c1ccccc1)N1C(=O)O[C@](Cc2ccccc2)(c2ncc(Cc3ccccc3)o2)C1=O,0.0
42,C[C@H](c1ccc(F)cc1)N1C(=O)O[C@](Cc2ccccc2)(c2nc3c(-c4cncnc4)cccc3[nH]2)C1=O,19.0
43,COCCn1cc(-c2c(OC)nc3c(N4CCOCC4)nccn23)cn1,42.0
44,Cc1nc2c(N3CCOCC3)nccn2c1-c1cnn(C(C)C)c1,97.0
45,Cc1c(OCCCCOc2ccc(C(=O)O)cc2)ccc(C(=O)CC(C)C)c1O,66.0
46,Cc1ccc(C(=O)O)cc1OCCCCOc1ccc(C(=O)CC(C)C)c(O)c1C,21.0
47,CCC(=O)c1ccc(OCCCCOc2ccc(F)c(C(=O)O)c2)c(C)c1O,35.0
48,Cc1c(OCCCCOc2ccc(F)c(C(=O)O)c2)ccc(C(=O)CC(C)(C)C)c1O,58.0
49,O=C(O)c1cc(F)ccc1NC(=O)N1C[C@H]2C[C@@H](c3ccccc3C(F)(F)F)C[C@H]2C1,100.0
50,O=c1ccc(-c2ccc(OCc3ccc4[nH]ccc4n3)cc2)c(-c2ccccc2)[nH]1,11.1
51,Cl.NC(=O)c1cnc2ccc(-c3cnc4ccccc4c3)cc2c1Nc1ccc(N2CCNCC2)c(C(F)(F)F)c1,50.0
52,O=C(O)CN(Cc1cccc(-c2ccccc2OC(F)(F)F)c1)S(=O)(=O)c1ccc(OC(F)F)cc1,100.0
53,CC(C)(C1CCN(C(=O)c2cc(F)ccc2S(C)(=O)=O)CC1)S(=O)(=O)c1cccc(C(F)(F)F)c1,68.0
56,O=C(O)c1cnncc1NC(=O)N1C[C@H]2C[C@@H](c3ccccc3C(F)(F)F)C[C@H]2C1,61.0
57,O[C@H](CN[C@@](Cc1ccccc1)(c1cc(F)cc(C(F)(F)F)c1)c1ccc(Cl)cn1)C(F)(F)F,88.0
58,CC1(C(=O)N(CCCC(=O)O)Cc2ccc(Cl)cc2)CCN1C(=O)Cc1coc2ccccc12,90.0
59,CC1CCN(S(=O)(=O)c2cccc(-c3ccccc3Cl)n2)CC1,0.0
60,CC(C)(O)c1ccc(-c2ccc3c(n2)Oc2c(F)cccc2[C@@H]3C(C)(C)C(=O)NC(N)=O)cn1,83.0
62,Cc1nc(-n2cnn(Cc3ccc(C(F)(F)F)cc3)c2=O)sc1C(=O)NCc1cccnc1,80.0
63,Fc1cc(OC(F)(F)C(F)F)cc([C@@](Cc2ccccc2)(Nc2nc(C(F)(F)F)cs2)c2ccc(Cl)cn2)c1,83.0
67,CCN1CC2CCC(C1)N2C(=O)C12CC1c1cc(OC)ccc1-c1c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)N(C)C)cc3n1C2,98.0
69,COC(=O)c1cc(C)nc(N2CCN(c3ccccc3C(F)(F)F)CC2)n1,0.0
70,O=C(Nc1nc(-c2ccccn2)cs1)c1ccc(F)cc1,72.1
71,O=C(Nc1nc(-c2ccccn2)cs1)c1ccccc1,54.5
72,O=C(/C=C/c1cccn(Cc2ccc3ccccc3n2)c1=O)NO,72.4
