index,smiles,MLM
0,O=C(O)CN(C(=O)CCc1ccccc1)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,65.0
1,CCC1C[C@@H]2C[C@](c3cc(F)ccc3F)(S(=O)(=O)c3ccc(Cl)cc3)CC[C@@H]2CS1(=O)=O,15.0
2,O=S1(=O)N[C@H]2CC[C@@](c3cc(F)ccc3F)(S(=O)(=O)c3ccc(Cl)cc3)C[C@H]2CN1C1CCC1,68.0
3,CS(=O)(=O)c1cc(Cl)cc2c1OCC(=O)N2Cc1nnc(CCc2ccc(Cl)cc2)n1CCC(F)(F)F,0.4
4,Cc1nc(-c2ccc(S(=O)(=O)Nc3cc(Br)ccc3C(=O)N3CCCCC3)s2)cs1,47.0
5,O=C(c1ccc(Br)cc1NS(=O)(=O)c1ccc2nsnc2c1)N1CCCCC1,23.0
6,Cn1cc(S(=O)(=O)[C@H]2CC[C@](CNC(=O)c3ccc(Cl)cc3Cl)(CC3CC3)CC2)nn1,10.0
7,C[C@H](O)c1ccccc1S(=O)(=O)c1ccc(/C=C/c2ccc(F)cc2)cc1,50.0
8,Cc1cc(C)cc([C@@H](CC(C)C)NC(=O)c2cc(COc3ccccc3)ccc2CCC(=O)O)c1,27.0
11,CNC(=O)c1ccc(N2CCC(Oc3ccccc3C#N)CC2)nn1,82.0
12,Cc1cc(C)c(NS(=O)(=O)c2ccc(NC(=O)c3ccco3)cc2)c(C)c1,93.3
13,CCOP(=O)(Cc1ccc(NC(=O)CNC(=O)[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)cc1)OCC,95.0
14,COc1cccc(-c2nnc(N3CCN(C(=O)c4ccccc4)CC3)c3ccccc23)c1,33.0
15,CC(C)c1n[nH]cc1-c1ccnc(Nc2ccc(N3CCNCC3)cn2)n1,67.0
16,O=C(Nc1ccc(C(F)(F)F)cc1)N1CCC[C@@H]1c1ncnn1Cc1ccc(Cl)cc1,81.0
17,O=C(OCc1ccccc1)c1coc(-c2ccc(F)c([N+](=O)[O-])c2)n1,8.1
18,CCCCCCCCCOc1ccc(OCC(=O)Cn2ccc3cc(C(=O)O)ccc32)cc1,74.0
19,O=C(O)c1cc(-c2cccc(COc3ccc4c(c3)CN(C3CC3)C4=O)c2)ccc1Cl,9.0
20,O=C(O)c1cc(-c2cccc(COc3ccc4c(c3)CN(C3CCCC3)C4=O)c2)ccc1Cl,42.0
22,COC[C@@H](C1CC1)n1cc(Cl)nc(Nc2c(C)nc(OC)nc2OC)c1=O,71.0
23,COC[C@H](C1CC1)n1cc(Cl)nc(Nc2c(C)nc(OC)nc2OC)c1=O,45.0
24,COC[C@H](C1CC1)n1cc(Cl)nc(Nc2cc(C)c(OC)nc2C)c1=O,24.0
25,COC[C@@H](C)n1cc(Cl)nc(Nc2cc(C)c(OC)nc2C)c1=O,8.0
26,Cc1nc(OC(F)F)c(C#N)cc1Nc1nc(Cl)cn([C@H](C)C2CC2)c1=O,80.0
27,COC[C@H](C1CC1)n1cc(Cl)nc(Nc2ccc(OC(F)F)nc2C)c1=O,89.0
29,Cc1ccc2c(N/C(=N\C#N)N3CCN(C(=O)Nc4ccc(Cl)cc4)CC3C(C)C)cccc2n1,74.0
30,CC1C(=O)N(Cc2ccc3ccccc3c2)c2c(/C=C/C(=O)NS(=O)(=O)c3cccc(Cl)c3)cccc21,13.1
31,CC(C)CCNC(=O)c1ccc(N2CCC(Oc3cccc(F)c3F)CC2)nn1,3.22
32,COc1cc(NC(=O)c2ccccn2)ccc1F,6.3
33,CC(O)(c1ccc(C(=O)N(CC2CC2)C2CCCCC2)cc1)C(F)(F)F,5.0
34,CC(C)[C@@H](NC(=O)[C@@H]1CC[C@@H](O)C1)C(=O)N1CC[C@](O)(c2ccc(Cl)cc2)C(C)(C)C1,87.0
35,COc1ccc(O[C@@H](CC(C)C)[C@H]2CCNC2)c(C)n1,92.0
36,CC[C@@H]1C(=O)N(C)c2cnc(-n3ccnc3-c3ccc(F)cc3)nc2N1c1ccnn1C,80.0
37,CC[C@@H]1C(=O)N(C)c2cnc(-n3ccnc3-c3ccc(F)cc3)nc2N1C1CC(F)(F)C1,14.0
38,CCC1(C(=O)Nc2cc(CN3CCOCC3)c(C)cn2)CCCCC1,0.0
41,Cl.O=c1n(C[C@H](O)CO)c2ccccc2n1C1CCN(C[C@H]2[C@H]3CC[C@H](C3)C23CC3)CC1,66.0
42,CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C(N)=O)c4ccc(C(F)(F)F)cc34)C2)CC1,25.0
43,CN1CCN(C(C(=O)N2CCC[C@H]2C(=O)Nc2ccc(C#Cc3ccc(NC(=O)[C@@H]4CCCN4C(=O)C(c4ccccc4)N4CCN(C)CC4)cc3)cc2)c2ccccc2)CC1,100.0
44,CN[C@@H](CC(C)C)C(=O)N[C@H]1CC[C@@H]2CN(c3ccc(C(F)(F)F)cc3)C[C@@H]21,85.0
45,CCC[C@H](NC)C(=O)N[C@H]1CC[C@@H]2CN(S(=O)(=O)c3ccc(C(F)(F)F)cc3)C[C@@H]21,83.4
46,CC(C)C[C@@H](C(=O)N[C@@H]1CC[C@H]2CN(S(=O)(=O)c3cccc(C(F)(F)F)c3)C[C@H]21)N(C)C,1.0
47,Fc1ccc(-c2cnnc(-c3c(F)cncc3F)c2)cc1-c1ncccc1F,9.0
48,Fc1cnc(-c2cc(-c3cnnc(-c4ccccc4F)c3)ccc2F)c(F)c1,22.0
49,COc1cc(Nc2c(C#N)cnc3cc(-c4coc(CN5CCN(C)CC5)c4)c(OC)cc23)c(Cl)cc1Cl,72.0
50,CC(C)Cc1cc2c(cc1Cl)C=C(C(=O)O)C(C(F)(F)F)O2,0.44
51,CN1CCN(c2cn(S(=O)(=O)c3ccc(F)cc3)c3ccccc23)CC1,99.0
57,C=CCO/N=C(\c1ccccc1)c1ccc2c(c1)C(C)(C)CCN2CCOc1ccc(C[C@H](OCC)C(=O)O)cc1,20.0
58,COc1cc(NC(=O)c2ccccn2)ccc1Cl,1.8
59,Cc1cc2c(C(=O)NCC3CCCCC3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NCC3CCCCC3)c(O)c(O)cc2c1O,90.0
60,Cc1cc2c(C(=O)NCCc3cccc(Cl)c3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NCCc3cccc(Cl)c3)c(O)c(O)cc2c1O,90.0
61,CC(C)(C)NC(=O)Cn1c(-c2cccc(OC(F)(F)F)c2)cc2cc(C(C)(C)C(=O)NC(C)(C)C)ccc21,22.0
62,O=C(Cn1c(=O)ccc2cnc(C(F)(F)F)cc21)Nc1scc(Br)c1-c1ncn[nH]1,43.0
63,O=C(Cn1c(=O)ccc2cc(C(F)(F)F)ccc21)Nc1scc(Br)c1-c1ncn[nH]1,35.0
64,Cn1cnc(-c2c(Br)csc2NC(=O)CN2C(=O)CCc3ncccc32)n1,37.0
65,O=C(O)c1cc(-c2cccc(COc3ccc4c(=O)n(C5CCCC5)oc4c3)c2)ccc1Cl,35.0
66,CN(C)Cc1ccc(Nc2ncc3c(=O)c(C(N)=O)cn(-c4ccc5c(c4)CCC5)c3n2)cc1,38.0
68,FC(F)Oc1ccccc1-c1ccc2[nH]c(C3=NOC4(CCCCC4)C3)nc2c1,59.0
69,CCc1ccc(-c2cc(Cl)cc3c2OC(C(F)(F)F)C(C(=O)O)=C3)cc1,60.0
70,CC(C)Cc1ccc(-c2cc(Cl)cc3c2OC(C(F)(F)F)C(C(=O)O)=C3)cc1,96.0
71,Cc1ccc(-c2cc(Cl)cc3c2OC(C(F)(F)F)C(C(=O)O)=C3)cc1F,55.0
72,O=c1[nH]c2ccccc2c2[nH]c(-c3ccccc3Cl)nc12,94.0
73,CC(F)(F)c1ccc(S(=O)(=O)c2nnn3c2nc(NCc2ccco2)c2sccc23)cc1,14.0
74,Cc1csc(CNc2nc3c(S(=O)(=O)c4ccc(C(C)(F)F)cc4)nnn3c3ccsc23)c1,22.0
75,CC(F)(F)c1ccc(S(=O)(=O)c2nnn3c2nc(NCc2ccsc2)c2sccc23)cc1,47.0
76,CC(C)(C)S(=O)(=O)N(CCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)C1CCCCC1,12.14
77,CCC(C)(C)C(=O)Nc1ccc(C)c(CN2CCOCC2)c1,2.2
78,CC(=O)N1CCC(c2ccc(C(=O)NC(=N)N)cc2C(F)(F)F)CC1,11.0
79,CCC(=O)N1CCC(c2ccc(C(=O)NC(=N)N)cc2C(F)(F)F)CC1,26.0
80,N=C(N)NC(=O)c1ccc(C2CCN(C(=O)c3ccc(O)cc3)CC2)c(C(F)(F)F)c1,11.0
81,O=C(OCC1CC1)c1coc(-c2ccccc2)n1,3.3
83,CC(C)(C)N1CCN(c2ccc(N3CCN(C(=O)N[C@H]4C5CC6CC4C[C@](C(N)=O)(C6)C5)c4ccccc43)nc2)CC1,15.0
84,CC(C)n1cc(C[C@H](NC(=O)c2c(Cl)cc3c(c2Cl)CCN(C(=O)c2ccc4ccoc4c2)C3)C(=O)O)nn1,95.0
85,Cc1c(OCc2cccc(-c3ccc(C(=O)O)cc3)c2)cc2c(c1C)C(=O)C(C1CCCC1)C2,20.0
86,CCCCc1cc(N[C@@H](CC(C)C)C(=O)NCCCOCC)nc(-c2cccnc2)n1,36.0
87,Fc1ccccc1-c1cc(-c2ccc(F)c(-c3ncccc3F)c2)cnn1,11.0
88,CCS(=O)(=O)c1ccc2[nH]c(N3CCOC(c4ccc(C)cc4)C3)nc2c1,34.0
89,CCS(=O)(=O)c1ccc2[nH]c(N3CCOC(c4ccc(OC)cc4)C3)nc2c1,48.0
90,O=C(CO)Nc1ccc2ncn(Cc3ccc(Cl)c(Cl)c3)c(=O)c2c1,75.0
91,O=C(CO)Nc1cnc2ncn(Cc3ccc(Cl)c(Cl)c3)c(=O)c2c1,88.0
92,Cl.O=c1n(C[C@@H](O)CO)c2ccccc2n1C1CCN(C[C@H]2[C@H]3CC[C@H](C3)C23CC3)CC1,70.0
93,CS(=O)(=O)c1ccc(C[C@H](NC(=O)c2c(Cl)cc3c(c2Cl)CCN(C(=O)c2ccc4ccoc4c2)C3)C(=O)O)o1,65.0
94,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,70.0
95,N=C(N)c1ccc2[nH]c(-c3cccc(-c4cc(F)ccc4O)c3O)cc2c1,100.0
100,O=c1c(Br)c(OCc2ccc(F)cc2)ccn1Cc1cccc(F)c1,26.0
101,CCS(=O)(=O)c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3)nc2c1,79.1
102,CC(C)(C)S(=O)(=O)c1ccc2[nH]c(-c3ccc(=O)n(-c4ccccc4)c3)nc2c1,99.9
103,CS(=O)(=O)c1ccc(C#CC(O)(c2ccc(N(CC(F)(F)F)S(=O)(=O)c3ccccc3)cc2)C(F)(F)F)cc1,85.0
104,CC(C)(C)CN(c1ccc(C(O)(C#Cc2ccc(S(C)(=O)=O)cc2)C(F)(F)F)cc1)S(=O)(=O)c1ccccc1,36.0
106,COc1ccc(-c2nnc(N3CCN(C(=O)c4ccccc4)CC3)c3ccccc23)cc1,22.0
107,C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(Cl)cc2)c2ccccc12,12.0
108,C[C@H]1CN(c2nnc(-c3ccc(F)cc3)c3ccccc23)CCN1C(=O)c1ccccc1,15.0
109,O=C(c1ccccc1)N1CCN(c2nnc(-c3ccccc3Cl)c3ccccc23)CC1,15.0
110,O=C(NCCNC(=O)c1cn(-c2ccccc2)nc1C(F)(F)F)c1ccc(OCC(F)(F)F)nc1,0.4
111,C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(C(F)(F)F)cc2)c2ccccc12,11.0
113,Cc1cc(C)cc(Nc2nccc(-c3nc(CO)cs3)n2)c1,35.0
115,Nc1n[nH]c2nc(-c3ccco3)c(-c3ccncn3)cc12,6.0
116,Cc1cc(Nc2nc(Cl)cn([C@H](C)C3CC3)c2=O)c(C)nc1N(C)C,54.0
117,Cc1cc(Nc2nc(Cl)cn([C@H](C)C3CC3)c2=O)c(C)nc1OC(F)F,100.0
118,c1coc(-c2nc3[nH]ccc3cc2-c2ccncn2)c1,88.0
119,COc1cccc2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)C[C@H]3C)c12,56.0
120,N[C@@H](CCN1CCC[C@H]1c1noc(-c2ccccc2)n1)Cc1ccccc1F,81.0
121,CCCCCCCCc1ccc(OCC(=O)Cn2cc(CCCCCC)c3cc(C(=O)O)ccc32)cc1,94.0
122,CCCCCCCCc1ccc(OCC(=O)n2cc(C(C)=O)c3cc(C(=O)O)ccc32)cc1,89.0
123,O=c1[nH]nc(-c2nn(Cc3ccccc3F)c3ncccc23)o1,59.0
124,Cc1cccc(NC(=O)c2cc(F)cc(C#N)c2)c1,69.7
125,N#Cc1cc(F)cc(C(=O)Nc2cccc(Cl)c2)c1,96.8
128,CCCCCCCCc1ccc(OCC(=O)Cn2ccc3cc(C(=O)O)ccc32)cc1,65.0
129,O=C(COc1ccc(-c2ccc(F)cc2)cc1)Cn1ccc2cc(C(=O)O)ccc21,14.0
130,O=C(COc1ccc(-c2ccccc2)cc1Cl)Cn1ccc2cc(C(=O)O)ccc21,61.0
131,CCCCCCCCOc1ccc(OCC(=O)Cn2ccc3cc(C(=O)O)ccc32)cc1,79.0
133,O=C(NCCc1ccccc1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,56.0
134,CC(C)(C)ONC(=N)c1ccc2[nH]c(-c3cccc(-c4ccccc4O)c3O)cc2c1,78.0
135,CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2.Cl,39.0
136,CC(C)[C@@H](NC(=O)[C@H]1CC[C@H](O)C1)C(=O)N1CC[C@](O)(c2ccc(Cl)cc2)C(C)(C)C1,74.0
137,CC(C)[C@@H](NC(=O)[C@@H]1CCC[C@@H]1O)C(=O)N1CC[C@](O)(c2ccc(Cl)cc2)C(C)(C)C1,20.0
139,Cc1cc(CC(NC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)c2nccn2Cc2ccccn2)cc2cn[nH]c12,1.0
142,CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(OCCO)CC3)nc(-c3ccccc3)n2)CC1,80.0
144,N=C(N)NC(=O)c1ccc(C2CCN(C(=O)c3ccccn3)CC2)c(C(F)(F)F)c1,6.0
145,N=C(N)NC(=O)c1ccc(C2CCN(C(=O)c3cccnc3)CC2)c(C(F)(F)F)c1,6.0
146,CS(=O)(=O)c1cccc(C(=O)N2CCC(c3ccc(C(=O)NC(=N)N)cc3C(F)(F)F)CC2)c1,14.0
147,N#Cc1ccccc1C(=O)N1CCC(c2ccc(C(=O)NC(=N)N)cc2C(F)(F)F)CC1,6.0
150,FC(F)(F)c1ccc2/c(=N/c3ccc(-c4ccccc4)cc3)ccn(CCN3CCCC3)c2c1,79.0
152,O=c1c(Cl)c(OCc2ccc(F)cc2F)cc(CO)n1-c1c(F)cccc1F,69.0
153,O=c1c(Br)c(OCc2ccc(F)cc2F)cc(CO)n1-c1c(F)cccc1F,65.0
154,CCCCCCCCc1ccc(OCC(=O)Cn2cc(C(=O)CCC(=O)O)c3cc(C(=O)O)ccc32)cc1,93.0
155,CCCCCCCCc1ccc(OCC(=O)n2ccc3cc(C(=O)O)ccc32)cc1,65.0
156,Cc1cc2c(C(=O)NC(C)c3ccc(Cl)cc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NC(C)c3ccc(Cl)cc3)c(O)c(O)cc2c1O,71.0
157,CCC(NCCCC[C@@H](C[C@@H](OC)c1ccc(F)cc1)C(=O)NO)c1ccc(F)cc1,75.0
158,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2cc[nH]c2c1=O,39.16
159,CCCCCCCCc1ccc(OCC(=O)Cn2cc(C(=O)c3ccccc3)c3cc(C(=O)O)ccc32)cc1,95.0
161,CCOC(=O)c1cc2cc(-c3cc(C(=O)NCc4ccc(C(=O)O)cc4)nn3C)ccc2[nH]1,41.0
162,Cc1nc(Oc2ccc(C(N)=O)cc2)ccc1CN1CCC(N2C(=O)N(C3CCOCC3)C[C@H]2c2ccccc2)CC1,71.0
163,CC[C@@H]1C(=O)N(C)c2cnc(-n3ccnc3-c3ccccc3)nc2N1C(C)C,0.0
166,O=C(/C=C/c1cccc2c1N(Cc1ccc3ccccc3c1)C(=O)C2)NS(=O)(=O)c1cc(F)c(F)cc1F,62.5
167,Cc1cccc(Nc2ccc(CCC(=O)O)c(C(=O)N[C@H](CC(C)C)c3cc(C)cc(C)c3)c2)c1,91.0
168,N#Cc1cccc(-c2nnc(N3CCN(C(=O)c4ccccc4)CC3)c3ccccc23)c1,10.0
169,O=C(c1ccccc1)N1CCN(c2nnc(-c3ccc(Cl)cc3)c3ccccc23)CC1,10.0
170,C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccccc2)c2ccccc12,39.0
171,Cc1cc(C)cc([C@@H](CC(C)C)NC(=O)c2cc(COc3cc(C)ccc3C)ccc2CCC(=O)O)c1,83.0
172,Cc1cc(C)cc([C@@H](CC(C)C)NC(=O)c2cc(COc3cccnc3C)ccc2CCC(=O)O)c1,57.0
173,C[C@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccccc2)c2ccccc12,23.0
174,CCCc1cc(N[C@@H](CC(C)C)C(=O)NCCCOCC)nc(-n2cnc(-c3ccc(OC(F)(F)F)cc3)c2)n1,74.0
175,CCCCc1cc(N[C@@H](CC(C)C)C(=O)NCCCOCC)nc(-n2ccnc2)n1,68.0
176,C[C@H]1CN(c2nnc(-c3ccc(C(F)(F)F)cc3)c3ccccc23)CCN1C(=O)c1ccccc1,10.0
177,COc1ccccc1OCc1ccc(CCC(=O)O)c(C(=O)N[C@H](CC(C)C)c2cc(C)cc(C)c2)c1,90.0
178,C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(C(C)(C)C)cc2)c2ccccc12,94.0
179,C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(CO)cc2)c2ccccc12,13.0
180,Cc1ccc(C(=O)O)cc1-c1cccc(COc2ccc3c(c2)CN(C2CCCC2)C3=O)c1,2.0
183,FCCCCC1OC2(CCN(Cc3ccccc3)CC2)c2ccccc21,45.0
184,FCC1OC2(CCN(Cc3ccccc3)CC2)c2ccccc21,20.0
185,COc1ccccc1-c1ccc2[nH]c(/C=C/C3CCCCC3)nc2c1,10.0
187,CCCC(CCC)OCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,80.0
194,C[C@](O)(c1ccc(C(=O)N(C2CC2)[C@H]2CC[C@](COC(N)=O)(c3cscn3)CC2)cc1)C(F)(F)F,10.0
195,CC(C)c1ccc(S(=O)(=O)n2cc(N3CCN(C)CC3)c3ccccc32)cc1,95.0
196,O=C(O)c1ccc(CN2CCC(Nc3ccc(Oc4ccc(-c5ncco5)cc4)cc3)CC2)cc1,91.0
197,CCCCc1cc(N[C@@H](CC(C)C)C(=O)NCCCOCC)nc(-n2cnc(-c3ccc(OC)cc3)c2)n1,30.0
198,CCCCc1cc(N[C@@H](CC(C)C)C(=O)NCCCOCC)nc(-n2cnc(C)c2)n1,25.0
200,Cc1noc(-c2ccc(N3CCC(Oc4ccccc4C)CC3)nn2)n1,26.1
201,N#CC(Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccccc1,45.0
202,CC[C@H](N)C(=O)N[C@H](C#N)Cc1ccccc1,80.0
203,Cc1cc(Cn2ccnc2C(Cc2cc(C)c3[nH]ncc3c2)NC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)ccn1,2.0
205,O=C1COc2c(cc(Cl)cc2[N+](=O)[O-])N1Cc1nnc(-c2ccccn2)n1CCC(F)(F)F,19.0
210,Cc1cc(Cn2ccnc2C(Cc2cc(C)c3[nH]ncc3c2)NC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)cc(Cl)n1,2.0
212,Cc1cc(CC(NC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)c2nc(Br)cn2Cc2cc(F)cc(F)c2)cc2cn[nH]c12,100.0
213,Cn1c2c(c3cc(S(=O)(=O)n4ccc5ccccc54)ccc31)C1CCC(C2)N1,88.0
214,CCCCCCc1ccc2c(c1)[nH]c(=O)c1nc(-c3ccccc3Cl)[nH]c12,47.0
215,CC(C)[C@@H]1c2c[nH]nc2-c2cc(F)c(F)cc2N1S(=O)(=O)c1ccc(C(F)(F)F)cc1,93.0
