index,smiles,MLM
0,O=[N+]([O-])c1cn2c(n1)OC[C@@H](COc1ccc(OC(F)(F)F)cc1)C2,91.0
1,O=[N+]([O-])c1cn2c(n1)OCC(COc1ccc(-c3ccc(OC(F)(F)F)cc3)cc1)C2,100.0
5,CNc1nc(NCC(F)(F)F)c2sc(-c3ccc(C(F)(F)F)cc3)cc2n1,75.0
6,CN(C)CCCNc1nc(NCc2ccccc2)nc2cc(-c3ccc(C(F)(F)F)cc3)sc12,100.0
7,O=C(Nc1cc(F)cc(C(F)(F)F)c1)N1CCC(O)(c2ccc(Cl)cc2)CC1,100.0
9,Clc1ccc2c(Nc3ccc4oc(NCCN5CCCCC5)nc4c3)ccnc2c1,71.0
10,Cc1ncc(OC[C@@]2(c3cccc(F)c3)C[C@H]2C(=O)Nc2ccc(F)cn2)c(C)n1,90.0
11,O=C(NCCc1nc(-c2ccccc2)cs1)N1CCCCC1,104.0
12,Cc1cc(Br)c(Nc2nc(N)nc(Nc3ccc(C#N)cc3)n2)c(Br)c1,26.0
13,CC(C)(C(=O)NC(N)=O)[C@H]1c2ccccc2Oc2nc(-c3ccc(C(=O)N4CCCC4)cc3)ccc21,78.0
14,O=C(O)c1ccccc1NC(=O)N1CCC(c2ccccc2C(F)(F)F)CC1,3.0
15,O=C(O)c1cnccc1NC(=O)N1C[C@H]2C[C@@H](c3ccccc3C(F)(F)F)C[C@H]2C1,81.0
16,O=C(O)c1cnncc1NC(=O)N1C[C@H]2C[C@@H](c3ccccc3C(F)(F)F)C[C@H]2C1,97.0
17,Cn1cc(C2CCC(Oc3nccnc3-c3cncnc3)CC2)c2ncccc21,48.8
19,O=c1[nH]nc(CCc2cc(F)cc(F)c2)cc1O,62.0
20,CC1(C)CN(c2ccccc2NC(=O)Nc2csc(Cl)n2)c2c(O)ccc(-c3ccc(F)cc3)c21,80.0
21,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)ccc(Cl)c21,66.0
22,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)ccc(-c3ccccc3)c21,76.0
23,COc1cc(OC)cc(N2CCN(C(=O)c3oc(C)nc3-c3ccccc3F)CC2)c1,15.0
24,Cc1nc(-c2ccc(F)cc2)c(C(=O)N2CCN(c3cc(Cl)cc(Cl)c3)CC2)o1,71.8
25,Cc1nc(-c2ccccc2)c(C(=O)N2CCN(c3cccc(C#N)c3)CC2)o1,8.0
26,CN1CCN(C(=O)[C@H](CNC(=O)c2ccc(Cl)s2)NS(=O)(=O)c2cccc(N3CCCC3=O)c2Cl)CC1,59.0
28,OC1C2CC3CC1CC(C2)C3(Cc1nnn[nH]1)c1ccc(-c2ccccc2)nc1,91.0
29,Fc1cc(C(CC2CNC2)Oc2cccc(Cl)c2)ccc1Cl,57.0
30,Cc1cccc(OC(CC2CNC2)c2ccc(Cl)c(F)c2)c1,36.0
31,Cc1cc(NCC2CCCCN2)n2nc(C)c(-c3ccccc3)c2n1,51.8
32,Cl.NC(=O)c1cnc2ccc(-c3cnc4ccccc4c3)cc2c1Nc1ccc(N2CCNCC2)c(C(F)(F)F)c1,73.0
36,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,20.0
37,Cc1[nH]c2ccccc2c1CCNC(=O)/C=C/c1ccc(OCCO)c(OCCO)c1,70.4
38,COc1cnc(-n2ccnn2)c2[nH]cc(C(=O)C(=O)N3CCc4c(cccc4-c4ccccn4)C3)c12,7.0
39,COCc1ncn(-c2ncc(OC)c3c(C(=O)C(=O)N4CCc5c(cccc5-c5ccccn5)C4)c[nH]c23)n1,5.0
41,COc1cnc(-n2cnc(C)n2)c2[nH]cc(C(=O)C(=O)N3CCc4c(-c5ccccc5)cccc4C34CC4)c12,30.0
43,Cc1cc(C)cc(NC(=O)CSc2nnc(-c3ccc(OCCO)cc3)[nH]2)c1,69.0
44,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,67.0
45,C[C@H](c1ccccc1)N1C(=O)O[C@](Cc2ccccc2)(c2ncc(Cc3ccccc3)[nH]2)C1=O,0.0
46,Cn1c2ccccc2c2cc(CCOc3nccnc3-c3ccc(F)cc3)cnc21,9.92
47,CCCc1cnc(N2CCC(C3Cc4c(ccc(C5=CCN(S(=O)(=O)CCC)CC5)c4F)O3)CC2)nc1,87.0
48,COc1cc(OC)cc(-c2cnc([C@@]3(Cc4ccccc4)OC(=O)N([C@H](C)c4ccccc4)C3=O)[nH]2)c1,43.0
50,Cc1cc2ccccc2n1CCNC(=O)c1cnc(Nc2ccccc2)nc1,50.0
51,COc1cc2ccc(C(O)(c3cnn[nH]3)C(C)C)cc2cc1OC,29.0
52,CS(=O)(=O)c1ccc(NC(=O)N2C[C@H]3C[C@@H](c4ccccc4C(F)(F)F)C[C@H]3C2)c(C(=O)O)c1,100.0
53,Cc1cc(NC(=O)N2C[C@H]3C[C@@H](c4ccccc4C(F)(F)F)C[C@H]3C2)c(C(=O)O)cn1,71.0
54,CN(CCOc1ccccc1C(C)(C)C)C(=O)Nc1ccccc1C(=O)O,1.1
55,Cc1cccc(NC(=O)c2nc(Br)cs2)n1,7.25
57,CC(=O)NC[C@H]1CN(c2ccc(N3CC[Si](C)(C)CC3)c(F)c2)C(=O)O1,48.9
58,CC(=O)NC[C@H]1CN(c2cc(F)c(N3CC[Si](C)(C)CC3)c(F)c2)C(=O)O1,69.8
59,C[C@H]1[C@H](N(C2CC2)S(=O)(=O)c2cccc(C(F)(F)F)c2)CN1C(=O)c1ccc(S(C)(=O)=O)cc1Cl,5.3
60,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,75.3
61,CC/C(=C(\c1ccccc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,63.0
62,COC(=O)c1nc(C)c2c(c1N)C(O)N(Cc1ccccc1)C2=O,55.0
63,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)CC1=C[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,50.0
64,COc1ccc(-c2nnc(C(=O)N3CCC(Oc4ccc(CN5CCN(C)CC5)cc4)CC3)o2)cc1,100.0
65,O=C(c1nnc(-c2ccccc2)o1)N1CCC(Oc2ccc(CN3CCC(O)C3)cc2)CC1,100.0
68,COc1nc(C)c(Nc2nc(Cl)cn([C@H](COC(=O)Nc3cccnc3)C3CC3)c2=O)cc1C,36.0
69,C[C@H](c1ccc(F)cc1)N1C(=O)O[C@](Cc2ccccc2)(c2nc3c(-c4cnn(C)c4)cccc3[nH]2)C1=O,54.0
70,C[C@H](c1ccc(F)cc1)N1C(=O)O[C@](Cc2ccccc2)(c2nc3c(NS(C)(=O)=O)cccc3[nH]2)C1=O,46.0
71,CC(C)Oc1cc([C@@](Cc2ccccc2)(NC[C@@H](O)C(F)(F)F)c2cc(F)cc(OC(F)(F)C(F)F)c2)ccc1F,83.0
73,CC(C)C(=O)NCc1ccc(Cl)c(-c2nc3cc(-c4ccc(C(F)(F)F)cc4)ncc3c(=O)[nH]2)c1,91.0
74,CC(C)(C(=O)NC(N)=O)[C@@H]1c2ccc(-c3ccc(C(=O)N4CCOCC4)cc3)nc2Oc2c(F)cccc21,83.0
75,CC(=O)Nc1nc(C)c(-c2nc(CC(C)(C)C(C)O)no2)s1,94.1
80,Fc1cc(OC(F)(F)C(F)F)cc([C@@](Cc2ccccc2)(Nc2nc3cc(F)ccc3[nH]2)c2ccc(Cl)cn2)c1,56.0
81,COc1ccc(Cl)cc1C(=O)N1CCN(c2cccc(Cl)c2)CC1,0.1
82,CC1(C)CC=C(c2cc(CCN3CCOCC3)ccc2NC(=O)c2ncc(C#N)[nH]2)CC1,66.0
83,CC(C)(O)Cc1ccc(NC(=O)c2nc(C#N)c[nH]2)c(C2=CCCCC2)c1,66.0
84,N#Cc1cnc(C(=O)Nc2ccc(CN3CCOCC3)cc2C2=CCCCC2)[nH]1,71.0
85,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,46.6
